,iso,year,value
0,IND,2003,7.92
1,UGA,2003,6.04
2,KEN,2003,6.46
3,MWI,2003,5.32
4,TZA,2003,5.98
5,EGY,2003,5.61
6,MDG,2003,5.69
7,ZMB,2003,7.22
8,SEN,2003,6.11
9,PHL,2003,4.67
10,MLI,2003,5.35
11,GTM,2003,5.02
12,TUR,2003,4.73
13,KGZ,2003,4.67
14,IDN,2003,5.94
15,PAK,2003,4.87
16,ZWE,2003,5.63
17,VNM,2003,4.25
18,MYS,2003,4.88
19,THA,2003,4.78
20,JOR,2003,4.59
21,MOZ,2003,5.07
22,CHN,2003,5.57
23,GHA,2003,5.59
24,YEM,2003,3.59
25,MEX,2003,4.67
26,ETH,2003,5.28
27,ISR,2003,4.45
28,TUN,2003,3.64
29,GIN,2003,4.58
30,CIV,2003,4.37
31,HND,2003,4.11
32,BLR,2003,4.19
33,LBN,2003,3.89
34,SRB,2003,
35,KOR,2003,3.61
36,AGO,2003,5.49
37,SVK,2003,3.94
38,ROM,2003,3.38
39,UKR,2003,4.47
40,BIH,2003,2.85
41,CHE,2003,3.44
42,BRA,2003,4.76
43,UZB,2003,3.93
44,ESP,2003,3.93
45,KHM,2003,3.57
46,PRY,2003,3.32
47,SLV,2003,2.95
48,PRT,2003,2.72
49,BGR,2003,4.15
50,CMR,2003,3.43
51,NGA,2003,3.54
52,MAR,2003,3.08
53,POL,2003,4.19
54,LKA,2003,3.26
55,TJK,2003,3.69
56,GBR,2003,3.68
57,MRT,2003,7.47
58,HUN,2003,3.61
59,COL,2003,4.38
60,COG,2003,4.47
61,BGD,2003,3.13
62,EST,2003,3.34
63,PNG,2003,2.78
64,LAO,2003,4.27
65,SVN,2003,3.7
66,HRV,2003,3.37
67,FIN,2003,3.8
68,NAM,2003,4.89
69,GRC,2003,2.9
70,DOM,2003,3.07
71,IRL,2003,3.16
72,NIC,2003,3.42
73,CAN,2003,3.66
74,CZE,2003,3.69
75,ARG,2003,
76,LVA,2003,2.9
77,BOL,2003,5.36
78,ZAF,2003,4.83
79,CRI,2003,3.08
80,LTU,2003,2.96
81,NLD,2003,3.18
82,MNG,2003,5.34
83,PER,2003,3.98
84,MDA,2003,3.0
85,BEL,2003,3.19
86,DNK,2003,3.05
87,SAU,2003,3.67
88,SWE,2003,3.78
89,ARE,2003,1.78
90,MKD,2003,2.37
91,RUS,2003,3.31
92,URY,2003,3.05
93,FRA,2003,3.2
94,MUS,2003,2.16
95,DZA,2003,1.96
96,JPN,2003,3.48
97,ECU,2003,3.08
98,OMN,2003,
99,KAZ,2003,3.18
100,USA,2003,2.78
101,JAM,2003,
102,CHL,2003,3.0
103,NZL,2003,2.75
104,IRN,2003,1.88
105,VEN,2003,2.53
106,ALB,2003,3.88
107,GEO,2003,2.94
108,KWT,2003,
109,GAB,2003,1.71
110,ITA,2003,2.58
111,NOR,2003,2.12
112,AUT,2003,2.96
113,TKM,2003,3.0
114,BWA,2003,2.57
115,AZE,2003,6.89
116,QAT,2003,2.24
117,AUS,2003,2.8
118,CUB,2003,
119,LBY,2003,1.1
120,TTO,2003,2.15
121,DEU,2003,0.39
122,KNA,2003,
123,SST,2003,
124,IMN,2003,
125,BMU,2003,
126,FSM,2003,
127,SYR,2003,
128,LCN,2003,
129,SSF,2003,
130,CPV,2003,
131,ECA,2003,
132,ISL,2003,
133,BFA,2003,
134,TGO,2003,
135,MCO,2003,
136,PYF,2003,
137,ERI,2003,
138,LIC,2003,
139,SLB,2003,
140,CYP,2003,
141,SOM,2003,
142,NCL,2003,
143,MNP,2003,
144,GMB,2003,
145,ABW,2003,
146,SAS,2003,
147,COM,2003,
148,SGP,2003,
149,GNB,2003,
150,TON,2003,
151,GRL,2003,
152,SWZ,2003,
153,SYC,2003,
154,EAP,2003,
155,MNA,2003,
156,OSS,2003,
157,BRN,2003,
158,MLT,2003,
159,CAF,2003,
160,ASM,2003,
161,TUV,2003,
162,NOC,2003,
163,EMU,2003,
164,LMC,2003,
165,AND,2003,
166,HIC,2003,
167,CSS,2003,
168,SXM,2003,
169,LCA,2003,
170,FCS,2003,
171,CEB,2003,
172,DJI,2003,
173,NPL,2003,
174,PAN,2003,
175,MAC,2003,
176,MHL,2003,
177,PRI,2003,
178,STP,2003,
179,SLE,2003,
180,DMA,2003,
181,PLW,2003,
182,VCT,2003,
183,CYM,2003,
184,BDI,2003,
185,LDC,2003,
186,VUT,2003,
187,MEA,2003,
188,MDV,2003,
189,FRO,2003,
190,ATG,2003,
191,INX,2003,
192,MAF,2003,
193,NAC,2003,
194,MIC,2003,
195,MMR,2003,
196,TCD,2003,
197,CUW,2003,
198,MNE,2003,
199,COD,2003,
200,EAS,2003,
201,WLD,2003,
202,AFG,2003,
