,iso,year,rank_eci,name
0,JPN,2003,1,Japan
1,DEU,2003,2,Germany
2,CHE,2003,3,Switzerland
3,KOR,2003,17,South Korea
4,SWE,2003,4,Sweden
5,AUT,2003,6,Austria
6,CZE,2003,9,Czech Republic
7,FIN,2003,5,Finland
8,HUN,2003,18,Hungary
9,GBR,2003,7,United Kingdom
10,SVN,2003,10,Slovenia
11,SVK,2003,15,Slovakia
12,USA,2003,8,United States
13,ITA,2003,14,Italy
14,IRL,2003,12,Ireland
15,FRA,2003,11,France
16,CHN,2003,36,China
17,DNK,2003,13,Denmark
18,BEL,2003,16,Belgium
19,MEX,2003,22,Mexico
20,ISR,2003,26,Israel
21,NLD,2003,19,Netherlands
22,EST,2003,31,Estonia
23,THA,2003,37,Thailand
24,POL,2003,25,Poland
25,MYS,2003,27,Malaysia
26,ROU,2003,38,Romania
27,ESP,2003,21,Spain
28,BLR,2003,20,Belarus
29,HRV,2003,28,Croatia
30,NOR,2003,23,Norway
31,LTU,2003,35,Lithuania
32,LVA,2003,33,Latvia
33,PRT,2003,32,Portugal
34,BIH,2003,41,Bosnia and Herzegovina
35,BGR,2003,39,Bulgaria
36,CAN,2003,24,Canada
37,PHL,2003,63,Philippines
39,TUR,2003,48,Turkey
40,UKR,2003,29,Ukraine
41,IND,2003,44,India
42,GRC,2003,43,Greece
43,TUN,2003,67,Tunisia
44,JOR,2003,57,Jordan
45,NZL,2003,40,New Zealand
46,RUS,2003,30,Russia
47,URY,2003,46,Uruguay
48,SLV,2003,68,El Salvador
49,CRI,2003,60,Costa Rica
50,BRA,2003,34,Brazil
51,ZAF,2003,42,South Africa
52,IDN,2003,55,Indonesia
53,LBN,2003,47,Lebanon
54,VNM,2003,91,Vietnam
55,MDA,2003,62,Moldova
56,MUS,2003,73,Mauritius
57,EGY,2003,70,Egypt
58,GEO,2003,45,Georgia
59,COL,2003,53,Colombia
60,ARG,2003,51,Argentina
61,DOM,2003,75,Dominican Republic
62,ARE,2003,66,United Arab Emirates
63,MKD,2003,71,Macedonia
64,JAM,2003,78,Jamaica
65,CHL,2003,61,Chile
66,GTM,2003,76,Guatemala
67,LKA,2003,89,Sri Lanka
68,OMN,2003,87,Oman
69,KWT,2003,74,Kuwait
70,SAU,2003,49,Saudi Arabia
71,HND,2003,88,Honduras
72,SEN,2003,72,Senegal
73,PRY,2003,99,Paraguay
74,MAR,2003,86,Morocco
75,CUB,2003,79,Cuba
76,KAZ,2003,64,Kazakhstan
77,SYR,2003,92,Syria
78,AUS,2003,54,Australia
79,KHM,2003,102,Cambodia
80,ALB,2003,52,Albania
81,ZMB,2003,104,Zambia
82,KGZ,2003,77,Kyrgyzstan
83,UZB,2003,85,Uzbekistan
84,KEN,2003,84,Kenya
85,CMR,2003,109,Cameroon
86,TTO,2003,56,Trinidad and Tobago
87,PAK,2003,97,Pakistan
88,QAT,2003,58,Qatar
89,PER,2003,82,Peru
90,NAM,2003,50,Namibia
91,BWA,2003,65,Botswana
92,ZWE,2003,69,Zimbabwe
93,NIC,2003,95,Nicaragua
94,UGA,2003,106,Uganda
95,CIV,2003,93,Ivory Coast
96,IRN,2003,100,Iran
97,BGD,2003,116,Bangladesh
98,MDG,2003,110,Madagascar
99,TZA,2003,115,Tanzania
100,TKM,2003,114,Turkmenistan
101,ECU,2003,96,Ecuador
102,VEN,2003,59,Venezuela
103,TJK,2003,98,Tajikistan
104,MOZ,2003,108,Mozambique
105,BOL,2003,80,Bolivia
106,LAO,2003,112,Laos
107,GAB,2003,107,Gabon
108,AZE,2003,83,Azerbaijan
109,ETH,2003,111,Ethiopia
110,DZA,2003,94,Algeria
111,GHA,2003,103,Ghana
112,MNG,2003,101,Mongolia
113,MWI,2003,121,Malawi
114,PNG,2003,117,Papua New Guinea
115,COG,2003,113,Republic of the Congo
116,MLI,2003,105,Mali
117,LBY,2003,81,Libya
118,MRT,2003,90,Mauritania
119,YEM,2003,119,Yemen
120,GIN,2003,122,Guinea
121,NGA,2003,118,Nigeria
122,AGO,2003,120,Angola
123,JPN,2004,1,Japan
124,DEU,2004,2,Germany
125,CHE,2004,4,Switzerland
126,KOR,2004,15,South Korea
127,SWE,2004,3,Sweden
128,AUT,2004,6,Austria
129,CZE,2004,10,Czech Republic
130,FIN,2004,5,Finland
131,HUN,2004,18,Hungary
132,GBR,2004,7,United Kingdom
133,SVN,2004,9,Slovenia
134,SVK,2004,16,Slovakia
135,USA,2004,8,United States
136,ITA,2004,14,Italy
137,IRL,2004,11,Ireland
138,FRA,2004,12,France
139,CHN,2004,33,China
140,DNK,2004,13,Denmark
141,BEL,2004,17,Belgium
142,MEX,2004,21,Mexico
143,ISR,2004,24,Israel
144,NLD,2004,19,Netherlands
145,EST,2004,31,Estonia
146,THA,2004,37,Thailand
147,POL,2004,23,Poland
148,MYS,2004,26,Malaysia
149,ROU,2004,38,Romania
150,ESP,2004,20,Spain
151,BLR,2004,22,Belarus
152,HRV,2004,28,Croatia
153,NOR,2004,25,Norway
154,LTU,2004,40,Lithuania
155,LVA,2004,34,Latvia
156,PRT,2004,32,Portugal
157,BIH,2004,36,Bosnia and Herzegovina
158,BGR,2004,42,Bulgaria
159,CAN,2004,27,Canada
160,PHL,2004,67,Philippines
162,TUR,2004,46,Turkey
163,UKR,2004,30,Ukraine
164,IND,2004,47,India
165,GRC,2004,44,Greece
166,TUN,2004,66,Tunisia
167,JOR,2004,50,Jordan
168,NZL,2004,43,New Zealand
169,RUS,2004,29,Russia
170,URY,2004,49,Uruguay
171,SLV,2004,63,El Salvador
172,CRI,2004,57,Costa Rica
173,BRA,2004,41,Brazil
174,ZAF,2004,45,South Africa
175,IDN,2004,60,Indonesia
176,LBN,2004,48,Lebanon
177,VNM,2004,91,Vietnam
