rank,value,name,iso,year
1,7.15,India,IND,2004
3,6.11,Uganda,UGA,2004
2,6.32,Kenya,KEN,2004
4,6.11,Tanzania,TZA,2004
14,5.0,Egypt,EGY,2004
9,5.41,Madagascar,MDG,2004
5,5.86,Senegal,SEN,2004
28,4.43,Philippines,PHL,2004
7,5.72,Malawi,MWI,2004
10,5.27,Zambia,ZMB,2004
17,4.89,Guatemala,GTM,2004
21,4.68,Pakistan,PAK,2004
8,5.49,Zimbabwe,ZWE,2004
20,4.73,Malaysia,MYS,2004
11,5.23,Indonesia,IDN,2004
18,4.75,Jordan,JOR,2004
32,4.25,Vietnam,VNM,2004
6,5.84,Mali,MLI,2004
24,4.5,Thailand,THA,2004
27,4.45,Turkey,TUR,2004
23,4.63,Mozambique,MOZ,2004
13,5.07,Guinea,GIN,2004
16,4.98,Ethiopia,ETH,2004
22,4.68,Mexico,MEX,2004
64,3.33,Cameroon,CMR,2004
36,3.95,Honduras,HND,2004
12,5.2,China,CHN,2004
25,4.48,Yemen,YEM,2004
31,4.33,Ivory Coast,CIV,2004
30,4.4,Israel,ISR,2004
19,4.74,Kyrgyzstan,KGZ,2004
66,3.28,Tunisia,TUN,2004
15,4.99,Ghana,GHA,2004
74,3.12,Cambodia,KHM,2004
52,3.6,South Korea,KOR,2004
41,3.86,South Africa,ZAF,2004
33,4.19,Tajikistan,TJK,2004
40,3.88,Uzbekistan,UZB,2004
65,3.29,Sri Lanka,LKA,2004
50,3.65,Paraguay,PRY,2004
38,3.92,Ukraine,UKR,2004
53,3.59,Spain,ESP,2004
62,3.36,,ROM,2004
78,3.1,Bosnia and Herzegovina,BIH,2004
43,3.84,Slovakia,SVK,2004
75,3.12,El Salvador,SLV,2004
56,3.53,Mauritania,MRT,2004
60,3.39,Papua New Guinea,PNG,2004
29,4.42,Brazil,BRA,2004
57,3.53,Hungary,HUN,2004
34,4.04,Belarus,BLR,2004
79,3.1,Bangladesh,BGD,2004
42,3.85,Poland,POL,2004
51,3.63,United Kingdom,GBR,2004
70,3.22,Bulgaria,BGR,2004
82,3.03,Estonia,EST,2004
54,3.54,Switzerland,CHE,2004
95,2.84,Portugal,PRT,2004
46,3.75,Czech Republic,CZE,2004
45,3.78,Slovenia,SVN,2004
61,3.39,Ireland,IRL,2004
76,3.12,Nicaragua,NIC,2004
71,3.15,Dominican Republic,DOM,2004
44,3.84,Finland,FIN,2004
85,2.98,Morocco,MAR,2004
97,2.73,Nigeria,NGA,2004
49,3.68,Lebanon,LBN,2004
35,3.97,Colombia,COL,2004
77,3.11,Croatia,HRV,2004
104,2.41,Lithuania,LTU,2004
58,3.51,Laos,LAO,2004
69,3.23,Costa Rica,CRI,2004
47,3.7,Bolivia,BOL,2004
92,2.9,Republic of the Congo,COG,2004
59,3.51,Argentina,ARG,2004
99,2.64,Greece,GRC,2004
89,2.94,Peru,PER,2004
73,3.13,France,FRA,2004
96,2.8,Latvia,LVA,2004
93,2.9,Moldova,MDA,2004
39,3.92,Sweden,SWE,2004
67,3.26,Canada,CAN,2004
72,3.14,Belgium,BEL,2004
90,2.94,United States,USA,2004
83,3.03,Netherlands,NLD,2004
63,3.35,Namibia,NAM,2004
80,3.09,Denmark,DNK,2004
48,3.69,Japan,JPN,2004
26,4.46,Angola,AGO,2004
81,3.04,Mongolia,MNG,2004
94,2.85,Uruguay,URY,2004
108,2.25,Mauritius,MUS,2004
86,2.96,Kazakhstan,KAZ,2004
55,3.54,Saudi Arabia,SAU,2004
113,2.1,Oman,OMN,2004
115,1.93,United Arab Emirates,ARE,2004
98,2.7,New Zealand,NZL,2004
84,3.03,Russia,RUS,2004
111,2.23,Iran,IRN,2004
109,2.25,Kuwait,KWT,2004
112,2.22,Macedonia,MKD,2004
117,1.68,Jamaica,JAM,2004
114,2.09,Ecuador,ECU,2004
106,2.32,Chile,CHL,2004
102,2.52,Gabon,GAB,2004
103,2.46,Turkmenistan,TKM,2004
100,2.59,Italy,ITA,2004
91,2.92,Albania,ALB,2004
110,2.24,Georgia,GEO,2004
116,1.92,Norway,NOR,2004
105,2.34,Algeria,DZA,2004
87,2.96,Venezuela,VEN,2004
88,2.95,Austria,AUT,2004
68,3.25,Azerbaijan,AZE,2004
118,1.51,Botswana,BWA,2004
101,2.58,Qatar,QAT,2004
107,2.32,Australia,AUS,2004
122,1.15,Libya,LBY,2004
120,1.36,Cuba,CUB,2004
119,1.38,Germany,DEU,2004
121,1.25,Trinidad and Tobago,TTO,2004
1,6.99,India,IND,2005
3,6.01,Uganda,UGA,2005
2,6.51,Kenya,KEN,2005
4,5.98,Tanzania,TZA,2005
11,5.18,Egypt,EGY,2005
6,5.93,Madagascar,MDG,2005
5,5.98,Senegal,SEN,2005
16,4.83,Philippines,PHL,2005
7,5.73,Malawi,MWI,2005
13,5.09,Zambia,ZMB,2005
14,5.08,Guatemala,GTM,2005
17,4.78,Pakistan,PAK,2005
8,5.54,Zimbabwe,ZWE,2005
20,4.64,Malaysia,MYS,2005
9,5.2,Indonesia,IDN,2005
21,4.63,Jordan,JOR,2005
32,4.16,Vietnam,VNM,2005
10,5.2,Mali,MLI,2005
25,4.48,Thailand,THA,2005
24,4.56,Turkey,TUR,2005
27,4.38,Mozambique,MOZ,2005
28,4.37,Guinea,GIN,2005
15,5.0,Ethiopia,ETH,2005
19,4.65,Mexico,MEX,2005
58,3.44,Cameroon,CMR,2005
42,3.73,Honduras,HND,2005
12,5.1,China,CHN,2005
29,4.32,Yemen,YEM,2005
31,4.23,Ivory Coast,CIV,2005
26,4.39,Israel,ISR,2005
18,4.7,Kyrgyzstan,KGZ,2005
52,3.55,Tunisia,TUN,2005
23,4.59,Ghana,GHA,2005
77,3.03,Cambodia,KHM,2005
40,3.78,South Korea,KOR,2005
39,3.8,South Africa,ZAF,2005
30,4.26,Tajikistan,TJK,2005
36,3.94,Uzbekistan,UZB,2005
53,3.49,Sri Lanka,LKA,2005
45,3.68,Paraguay,PRY,2005
41,3.78,Ukraine,UKR,2005
54,3.48,Spain,ESP,2005
55,3.47,,ROM,2005
74,3.12,Bosnia and Herzegovina,BIH,2005
46,3.67,Slovakia,SVK,2005
92,2.82,El Salvador,SLV,2005
48,3.64,Mauritania,MRT,2005
76,3.06,Papua New Guinea,PNG,2005
22,4.6,Brazil,BRA,2005
56,3.45,Hungary,HUN,2005
35,3.96,Belarus,BLR,2005
65,3.32,Bangladesh,BGD,2005
